"’À∫≈","÷–º‰÷µ","date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"fuck","midvalue","20200916","13351217131","Refund","114-8771297-8549065","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","MARIETTA","GA","30062-2915","MarketplaceFacilitator","-19.99","-1.20","0","0","0","0","0","0","1.20","2.40","0","0","0",17.59"
"fuck","midvalue","20200916","13351217131","Refund","111-7855201-3603463","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","COLLEGEVILLE","PA","19426-2988","MarketplaceFacilitator","-19.99","-1.20","0","0","0","0","0","0","1.20","2.40","0","0","0",17.59"
"fuck","midvalue","20200916","13351217131","Refund","112-8060543-6036218","SZ-YSB-AA-21407-1","Wireless Earbuds, NENRENT S570 TWS Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound, Wireless Bluetooth Headphones with Charging Case 18H Mus","1","amazon.com","Standard Orders","Amazon","LAKE ELSINORE","CA","92530-6930","MarketplaceFacilitator","-29.99","-2.32","0","0","0","0","0","0","2.32","3.60","0","0","0",26.39"
"fuck","midvalue","20200916","13351217131","Refund","113-8169431-0590667","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","MINNEAPOLIS","MN","55405-2331","MarketplaceFacilitator","-16.99","-1.36","0","0","0","0","0","0","1.36","2.04","0","0","0",14.95"
"fuck","midvalue","20200916","13351217131","Refund","112-9144469-0657056","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","MIDWAY CITY","CA","92655-1619","MarketplaceFacilitator","-14.99","-1.16","0","0","0","0","0","0","1.16","1.80","0","0","0",13.19"
"fuck","midvalue","20200916","13351217131","Refund","113-2615871-3509814","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","COSTA MESA","CA","92626-5747","MarketplaceFacilitator","-16.99","-1.32","0","0","0","0","0","0","1.32","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","111-8810437-0461028","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11210-4735","MarketplaceFacilitator","-16.99","-1.51","0","0","0","0","0","0","1.51","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","113-2459999-4617067","SZ-YSB-AA-21075-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","LITTLE NECK","NY","11363-1403","MarketplaceFacilitator","-19.99","-1.77","0","0","0","0","0","0","1.77","2.40","0","0","0",17.59"
"fuck","midvalue","20200917","13351217131","Refund","111-0099647-3107468","SZ-YSB-AA-21891","Wireless Earbuds NENRENT S570+ 2020 Updated Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case","1","amazon.com","Standard Orders","Amazon","DALEVILLE","IN","47334-0429","MarketplaceFacilitator","-16.99","-1.19","0","0","0","0","0","0","1.19","2.04","0","0","0",14.95"
"fuck","midvalue","20200917","13351217131","Refund","112-0649300-0806647","SZ-YSB-AA-21030-1","NENRENT S570 Bluetooth Earbud,Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for iPhone","1","amazon.com","Standard Orders","Amazon","EVANSVILLE","IN","47715-2237","MarketplaceFacilitator","-16.99","-1.19","0","0","0","0","0","0","1.19","2.04","0","0","0",14.95"
